Model,level,MAE
AR(24)_frozen,city_chronological_test,2.412435216589798
SARIMA_auto,city_chronological_test,2.4561181121790563
Persistence,city_chronological_test,2.7491887699593427
XGBoost_tuned,city_chronological_test,3.730224312011612
RandomForest_tuned,city_chronological_test,3.9704661766815788
XGBoost,city_chronological_test,4.010996474736958
RandomForest,city_chronological_test,4.40990204639221
Ridge,city_chronological_test,4.6618862545691995
Seasonal_naive_24h,city_chronological_test,9.250071199006145
AR(24)_frozen,district_units_weighted,5.459694101674822
Persistence,district_units_weighted,5.7659429752605496
Ridge,district_units_weighted,6.984876594141951
XGBoost,district_units_weighted,9.411220066719514
RandomForest,district_units_weighted,9.414923128597543
Seasonal_naive_24h,district_units_weighted,16.12251585394969
Persistence,station_sample_weighted,8.78621260236367
AR(24)_frozen,station_sample_weighted,9.093104764735505
Ridge,station_sample_weighted,10.089340857421966
RandomForest,station_sample_weighted,14.835066056011135
XGBoost,station_sample_weighted,15.707773496031693
Seasonal_naive_24h,station_sample_weighted,24.531831369424275
