fold,model,MAE,RMSE,R2
1,Persistence,4.260277557319224,6.223710579874341,0.9048194405759605
1,Seasonal_naive_24h,14.902309027777775,18.949666329366032,0.11762618760317733
1,AR(24)_frozen,4.041890354339357,5.844393892326986,0.9160678337059294
1,SARIMA_auto,4.066876731874978,5.920679323357204,0.9138624421133983
1,Ridge,7.039053805586781,9.730381777420549,0.7673466894123304
1,RandomForest,5.120047903699721,7.117161088487132,0.8755304649310127
1,RandomForest_tuned,4.720651083622405,6.673437974631818,0.890566892281804
1,XGBoost,4.394036239419243,6.2618561844166365,0.9036491270097201
1,XGBoost_tuned,4.294304597958896,6.239870943648869,0.9043245109313633
2,Persistence,3.559029982363316,5.476383989614075,0.9338315493443771
2,Seasonal_naive_24h,12.33082848324515,17.859262794558607,0.29629564755544424
2,AR(24)_frozen,3.2333399832051732,5.099843760156381,0.9426178358100261
2,SARIMA_auto,3.2615359731540523,5.094378606678719,0.9427407549878839
2,Ridge,5.961806929879136,8.490483698048061,0.8409520607639311
2,RandomForest,4.044187544960251,5.876321266292611,0.923814162874967
2,RandomForest_tuned,3.6988084744922887,5.524333966388415,0.9326677647264796
2,XGBoost,3.803813227278005,5.637670715174497,0.9298766600013608
2,XGBoost_tuned,3.5132287593716245,5.3581869695213,0.9366569590146824
3,Persistence,2.711442680776014,4.1546057133157825,0.877699683718712
3,Seasonal_naive_24h,8.653610394620813,11.012649965552804,0.1406865228538413
3,AR(24)_frozen,2.530638147866073,3.88680107720623,0.8929584027281832
3,SARIMA_auto,2.496115993916473,3.8357835390029917,0.8957499830359253
3,Ridge,4.2913520296827805,6.131571884719599,0.733613874943358
3,RandomForest,4.02555286125556,5.333532988702828,0.7984429824810894
3,RandomForest_tuned,3.6535654114346343,4.986089847116023,0.8238477672745663
3,XGBoost,3.7318088516443355,4.988025515811897,0.8237109712848696
3,XGBoost_tuned,3.210745410253552,4.477450870181648,0.8579538031258296
4,Persistence,1.6702439557613167,2.5301996236574196,0.7109125517629323
4,Seasonal_naive_24h,3.6325286896745235,5.380888863978906,-0.30745787917586065
4,AR(24)_frozen,1.5239131606495413,2.301686472950102,0.7607720092114936
4,SARIMA_auto,1.5199542381492952,2.2716640822591674,0.7669721196644094
4,Ridge,2.5853850194229344,3.766320395890167,0.35944830277226436
4,RandomForest,1.975820844205387,2.909447816695152,0.6177558862218773
4,RandomForest_tuned,1.8230882439252611,2.6666673853939096,0.6788873898811142
4,XGBoost,1.9931597319937269,2.8561017080045166,0.6316446347474658
4,XGBoost_tuned,1.7512331150964189,2.5341795799193467,0.7100023782809226
5,Persistence,1.0136416713430603,1.5904886477684992,0.8008899152150526
5,Seasonal_naive_24h,2.767079024370691,3.8104364408578233,-0.14282979311791122
5,AR(24)_frozen,1.0014811669347217,1.53376577201548,0.8148387118832665
5,SARIMA_auto,1.0014716242374269,1.5361259274896772,0.8142684218555166
5,Ridge,1.6137066240865627,2.3625923957474826,0.5606509277954352
5,RandomForest,1.16985631557624,1.7742884835056971,0.7522118248487477
5,RandomForest_tuned,1.1270060590056787,1.7068941866720162,0.77067821765111
5,XGBoost,1.2565907776753937,1.8454959892565785,0.7319237613074763
5,XGBoost_tuned,1.1576296309966596,1.736235740772478,0.7627263593202541
6,Persistence,0.891466892135642,1.2542118366378237,0.6865713677119507
6,Seasonal_naive_24h,2.0958575877825876,2.8805338921003423,-0.653266463759834
6,AR(24)_frozen,0.855201138052222,1.2045081955142716,0.7109210983766808
6,SARIMA_auto,0.8543278615312384,1.2198548240782967,0.703507867770448
6,Ridge,1.3453527074512062,1.8062719149461859,0.34992549208419754
6,RandomForest,1.0509380190875306,1.4553431219984827,0.5779852088286219
6,RandomForest_tuned,0.9631405623482634,1.347344121438931,0.6382954757540982
