fold,model,MAE,RMSE,R2
1,Ridge,5.416400279938679,7.433687002051661,0.8668892955119434
1,RandomForest,4.885121470248163,6.632981526540526,0.8940204635997361
1,XGBoost,4.754702163007524,6.382500557061286,0.9018735329752676
2,Ridge,4.5085906196181895,5.81207904436975,0.7127883299003588
2,RandomForest,4.833294991098468,6.155869821506018,0.6778056557454601
2,XGBoost,4.782233824597465,6.070914551587511,0.686637301392196
3,Ridge,2.7240792740278037,3.6650069490392045,0.36996199316498357
3,RandomForest,2.4389097803494497,3.5209723975845963,0.4185098198922801
3,XGBoost,2.3210772179232704,3.315492158477406,0.48439970845089797
4,Ridge,1.6952728341408478,2.2947633873862534,0.5913278739598633
4,RandomForest,1.259799611358705,1.9028016881718404,0.7190129861389143
4,XGBoost,1.3030986715687645,1.9116738634318584,0.7163865663572269
5,Ridge,1.5857380910946188,1.9828897115189452,0.23281087171569725
5,RandomForest,1.303894853459789,1.7438917031796128,0.4066043694995942
5,XGBoost,1.281975328789817,1.7040591030690646,0.433402533359282
6,Ridge,1.8323905254093624,2.406145412427629,0.705320648766649
6,RandomForest,2.2431818272387196,3.035191368870559,0.531102278442587
6,XGBoost,2.0947196320030423,2.930645206236113,0.5628480154714124
7,Ridge,1.9460728480882443,2.3915016994983063,0.527483221310028
7,RandomForest,1.8409408726801713,2.2957698183075417,0.5645557791565963
7,XGBoost,1.774192550116115,2.2065943471184744,0.5977270323187169
8,Ridge,1.8042522114319273,2.3428690698770898,0.5617815411438927
8,RandomForest,1.6091791695554083,2.3270615549085756,0.5676749783412809
8,XGBoost,1.5174998944335516,2.1755432111460964,0.6221407511876721
9,Ridge,2.924889653112066,3.842562499164863,0.756018452869352
9,RandomForest,2.715997264987888,3.946374649772665,0.7426573752053589
9,XGBoost,2.5189343772994146,3.588303370605084,0.7872383219286441
10,Ridge,5.944925176046746,8.153900196870142,0.8277195821586674
10,RandomForest,5.10076089244993,7.105481225339146,0.8691745834862009
10,XGBoost,4.632689492437574,6.261400716347456,0.8984106618848714
11,Ridge,7.552144241647029,10.374638289856016,0.9051968234862385
11,RandomForest,6.735210286618682,10.333765514013411,0.9059423407754112
11,XGBoost,6.611483669082324,10.330192430972676,0.9060073737441731
12,Ridge,5.90466477856738,8.370911854703118,0.8769154657701873
12,RandomForest,5.434562161820939,7.794480204590812,0.8932833298310453
12,XGBoost,5.376993916564516,7.628960869285791,0.8977675606693971
13,Ridge,5.940675143403332,7.896545690692448,0.8439160707417889
13,RandomForest,4.935422075126628,6.574595370067122,0.8918013247703337
13,XGBoost,5.036590905851788,6.392663491387182,0.8977066098617735
14,Ridge,4.1201661634895785,5.506588832197201,0.7592613361163726
14,RandomForest,3.883683429957297,5.175496297061235,0.7873406163013834
14,XGBoost,3.8857597410678864,5.07718354135952,0.7953431555326769
15,Ridge,2.756208095138601,3.561910789800536,0.6473854392003064
15,RandomForest,2.481602116263361,3.4677032786511415,0.6657910900267471
15,XGBoost,2.5198047943909962,3.426210159518091,0.6737412537920242
16,Ridge,2.132820383496352,2.7556480437263646,0.6542086898726114
16,RandomForest,1.8665611279581915,2.5851492712651196,0.6956748606963891
16,XGBoost,1.8556577412287394,2.5536713997113685,0.7030409232149857
17,Ridge,2.159985324704036,2.532028846878149,0.3584923404224942
17,RandomForest,1.4771432716997863,1.9302931645325734,0.6271697918337011
17,XGBoost,1.6464897894859314,2.064408055202927,0.5735622553430701
18,Ridge,1.8949813805148923,2.2211114800068743,0.22647667747785927
18,RandomForest,1.1467175509284064,1.4835400911381635,0.6549108749555965
18,XGBoost,1.316215784549713,1.6418579773176025,0.577327615550185
19,Ridge,2.8225016704891943,3.9244223725485634,0.468094566745195
19,RandomForest,2.4106707675952053,3.748260531657011,0.5147757688146266
19,XGBoost,2.682447378635407,4.021021554707982,0.4415867135104814
20,Ridge,2.430318030844326,3.019181452959629,0.282827712873721
20,RandomForest,1.6053847644061294,2.3473942242242436,0.566472019449497
20,XGBoost,1.6740883668263753,2.304675017296518,0.5821076147541577
21,Ridge,3.1844292484438945,4.890179581299241,0.48904543564986613
21,RandomForest,2.4691857714774263,4.44423384898199,0.5779863749228917
21,XGBoost,2.242732961310281,4.095787511944442,0.6415674003084401
22,Ridge,5.28430739100453,7.190131309366114,0.8042129929691426
22,RandomForest,4.447585802532546,6.136631264441536,0.8573833336430787
22,XGBoost,3.9553731556733447,5.400051905923247,0.8895651634750992
23,Ridge,10.181250397394694,14.585162380279167,0.8634324555550009
23,RandomForest,8.830079960491373,13.080917955381482,0.890149659626848
23,XGBoost,8.367797345055475,12.80284251299821,0.8947704362284492
24,Ridge,10.559375262122131,14.949484791256868,0.9155908286279089
24,RandomForest,9.45416653996857,14.167057357340562,0.9241952377570022
24,XGBoost,10.060196641484897,15.28191238273467,0.9117951234915768
